Date ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
01-Jan-14,177.25,177.8,174.65,176.9,174.95,175.4,175.89,245.7,100.15,"19,09,649","33,58,82,183.45","18,366"
02-Jan-14,175,177.7,168.2,175.4,170.8,169.7,173.07,245.7,100.15,"29,13,380","50,42,17,923.40","30,444"
03-Jan-14,168.35,168.35,163.9,169.7,165.8,165.45,165.56,245.7,100.15,"33,71,058","55,81,14,327.40","35,477"
06-Jan-14,165.45,168,163.65,165.45,163.95,164.3,165.65,245.7,100.15,"27,54,870","45,63,35,083.55","22,378"
07-Jan-14,165.3,170.25,163.5,164.3,164,165,166.9,245.7,100.15,"64,96,297","1,08,42,06,871.65","54,977"
08-Jan-14,165.35,165.8,162.25,165,162.55,162.9,163.58,245.7,100.15,"37,67,221","61,62,27,162.20","35,656"
09-Jan-14,162.9,165.75,161.2,162.9,163.3,162.9,163.36,245.7,100.15,"28,17,760","46,02,96,578.35","26,315"
10-Jan-14,163.4,165.75,162,162.9,163,163,163.71,245.7,100.15,"21,34,508","34,94,50,195.25","22,705"
13-Jan-14,163,165.5,161.55,163,165.15,163.85,163.23,233.5,100.15,"23,12,095","37,73,99,401.55","21,740"
14-Jan-14,163.55,164.85,161.6,163.85,162.1,162.2,162.9,233.5,100.15,"19,76,019","32,18,94,977.70","22,365"
15-Jan-14,162.4,167.7,162.4,162.2,165.8,166.55,164.76,233.5,100.15,"30,18,032","49,72,46,089.75","53,794"
16-Jan-14,166.9,171.45,166.55,166.55,168.95,169.85,169.56,233.5,100.15,"32,12,114","54,46,56,402.80","39,038"
17-Jan-14,168.9,173,167.4,169.85,170.5,171.85,170.64,233.5,100.15,"32,23,997","55,01,51,111.60","36,859"
20-Jan-14,171.75,174.4,170.95,171.85,173.8,173.9,173.36,233.5,100.15,"21,17,803","36,71,32,443.30","30,778"
21-Jan-14,173.75,174.2,169,173.9,169.65,169.75,171.38,233.5,100.15,"24,23,419","41,53,33,359.90","21,048"
22-Jan-14,169.75,172.35,168.55,169.75,170.15,170,170.62,233.5,100.15,"26,21,661","44,73,07,082.45","31,576"
23-Jan-14,169.55,173.35,169.55,170,170.2,171.25,171.55,233.5,100.15,"34,91,214","59,89,01,881.50","61,531"
24-Jan-14,169.7,170.5,163.7,171.25,164.85,165,166.43,233.5,100.15,"36,03,803","59,97,88,076.15","27,368"
27-Jan-14,162,164.65,161.1,165,162.3,162.25,162.82,231.5,100.15,"21,28,122","34,65,01,786.00","23,396"
28-Jan-14,162,165.65,160.45,162.25,164.6,164.35,163.59,231.5,100.15,"33,36,535","54,58,12,731.60","24,240"
29-Jan-14,165.05,172,165.05,164.35,171.3,170.75,169.92,231.5,100.15,"41,59,106","70,67,02,056.20","50,182"
30-Jan-14,166.6,175.6,164.5,170.75,172.15,173.2,169.95,231.5,100.15,"58,69,463","99,74,94,495.80","53,825"
31-Jan-14,170.95,173.5,168.35,173.2,172.15,172.75,171.3,231.5,100.15,"38,09,752","65,26,18,029.10","48,144"
03-Feb-14,170,173.8,165.55,172.75,166.05,167.15,169.82,227.3,100.15,"25,31,407","42,98,92,405.90","23,141"
04-Feb-14,165.7,167.5,161.65,167.15,163.5,162.85,163.78,227.3,100.15,"35,42,786","58,02,28,781.20","47,287"
05-Feb-14,163.4,164.8,158.35,162.85,160.4,160.85,161.24,227.3,100.15,"1,18,53,153","1,91,12,46,053.20","98,949"
06-Feb-14,157.5,157.85,153,160.85,156.7,157.1,156.4,227.3,100.15,"82,42,464","1,28,91,20,072.60","71,320"
07-Feb-14,156,157.75,154.65,157.1,155.25,155.75,156.11,227.3,100.15,"33,98,722","53,05,78,290.05","32,814"
10-Feb-14,155.7,158.6,154.85,155.75,155.9,155.9,156.67,213.7,100.15,"30,86,099","48,34,88,358.80","31,444"
11-Feb-14,156.5,157.85,154.3,155.9,154.55,155.1,155.92,213.7,100.15,"23,97,543","37,38,24,655.25","24,360"
12-Feb-14,155.5,158.4,155.5,155.1,157.6,157.35,157.34,213.7,100.15,"31,58,037","49,68,78,180.10","29,318"
13-Feb-14,158,158.75,150.15,157.35,150.7,151.95,155.34,213.7,100.15,"69,48,911","1,07,94,76,635.10","39,081"
14-Feb-14,152,152.4,145.55,151.95,148.4,148.5,147.94,213.7,100.15,"45,04,273","66,63,43,635.15","40,433"
17-Feb-14,147.6,150.4,146.3,148.5,147.3,147.55,147.75,213.7,100.15,"36,45,121","53,85,72,789.10","38,031"
18-Feb-14,147.5,151.4,146.3,147.55,149.2,149.65,149.68,213.7,100.15,"45,87,958","68,67,40,377.30","35,356"
19-Feb-14,150,152.3,149.55,149.65,150.55,150.65,150.99,213.7,100.15,"35,17,435","53,11,07,058.30","39,387"
20-Feb-14,149.9,152.4,148.75,150.65,150.7,150.95,150.61,213.7,100.15,"29,18,784","43,95,90,390.80","29,967"
21-Feb-14,151.8,152.25,148.65,150.95,150.6,150.6,150.37,213.7,100.15,"23,33,211","35,08,56,014.50","29,274"
24-Feb-14,150.6,156.95,150.2,150.6,156.7,156.55,154.74,210,100.15,"34,37,777","53,19,68,148.10","42,133"
25-Feb-14,157.25,160.45,156.9,156.55,159.5,159.7,159.23,210,100.15,"37,74,105","60,09,49,094.65","44,132"
26-Feb-14,160.5,163,159.65,159.7,162.1,162.4,161.67,210,100.15,"50,14,918","81,07,50,163.25","38,312"
28-Feb-14,161.5,168.9,161.2,162.4,168.5,167.75,165.95,210,100.15,"49,44,033","82,04,82,775.10","45,893"
03-Mar-14,168.3,169.5,161.25,167.75,162.6,162.7,165.48,208.45,100.15,"47,76,642","79,04,21,999.80","41,132"
04-Mar-14,162.4,167.6,160.8,162.7,166.9,166.95,165.5,208.45,100.15,"32,78,380","54,25,80,373.15","33,018"
05-Mar-14,168,168,164.5,166.95,167,167,166.35,208.45,100.15,"18,89,433","31,43,07,296.50","23,505"
06-Mar-14,167.5,174.75,166.5,167,173.55,173.35,171.75,208.45,100.15,"46,92,098","80,58,45,432.90","60,628"
07-Mar-14,173.9,187.4,173.6,173.35,185.45,184.85,180.52,208.45,100.15,"71,38,237","1,28,85,63,375.30","96,990"
10-Mar-14,183.9,192.1,183.05,184.85,188,189.45,189.73,208.45,100.15,"64,55,405","1,22,47,95,878.25","91,797"
11-Mar-14,189.4,193.35,187.2,189.45,188.6,189.35,190.24,208.45,100.15,"45,10,895","85,81,43,787.80","67,363"
12-Mar-14,188.6,189.65,182.55,189.35,184.1,183.95,185.07,208.45,100.15,"30,94,609","57,27,12,992.50","28,273"
13-Mar-14,183.95,188.15,181.2,183.95,182,183.1,185.5,208.45,100.15,"32,71,893","60,69,33,359.15","45,936"
14-Mar-14,181.8,189,178.5,183.1,188.9,187.95,183.7,208.45,100.15,"34,47,758","63,33,60,147.75","39,873"
18-Mar-14,188,194,186.3,187.95,188.05,189,190.62,207.9,100.15,"46,16,764","88,00,53,272.95","40,958"
19-Mar-14,189.5,191.85,187.7,189,190,190.15,189.76,207.9,100.15,"43,82,720","83,16,78,642.30","42,040"
20-Mar-14,188.2,188.9,183.2,190.15,186.5,184.85,185.38,207.9,100.15,"29,58,592","54,84,71,141.40","29,077"
21-Mar-14,186.5,188.4,185.65,184.85,187.75,187.75,187.13,207.9,100.15,"24,45,053","45,75,40,680.50","23,886"
22-Mar-14,188.3,188.6,187,187.75,187.6,187.4,187.4,207.9,100.15,"1,04,936","1,96,65,187.15","1,437"
24-Mar-14,187.8,190.95,186.3,187.4,187.6,188.05,188.73,207.9,100.15,"34,66,335","65,42,05,466.15","40,946"
25-Mar-14,188.05,197.3,187.75,188.05,196,196.55,193.46,207.9,100.15,"75,17,036","1,45,42,61,212.15","88,059"
26-Mar-14,198.2,199.8,194,196.55,194.7,195.55,197.48,207.9,100.15,"56,28,490","1,11,14,93,419.45","60,840"
27-Mar-14,195.5,202.15,193.2,195.55,198,197.85,198.72,207.9,100.15,"68,94,947","1,37,01,69,390.75","51,707"
28-Mar-14,197.7,201.5,196.65,197.85,200.8,200.1,198.67,207.9,100.15,"27,14,042","53,92,00,625.30","35,325"
31-Mar-14,201,201.8,194.65,200.1,195,196.05,197.97,207.9,100.15,"31,79,462","62,94,41,808.45","38,597"
01-Apr-14,196.8,198.25,191.2,196.05,194.4,194.5,193.95,207.9,100.15,"31,16,495","60,44,35,416.30","35,275"
02-Apr-14,195,195.8,190.65,194.5,194,193.35,192.65,207.9,100.15,"39,25,352","75,62,37,987.95","45,373"
03-Apr-14,195.45,196.2,185.6,193.35,187.55,187.35,189.54,207.9,100.15,"65,24,155","1,23,65,60,060.30","77,963"
04-Apr-14,187,187.55,182.05,187.35,183,183.5,183.49,207.9,100.15,"43,12,243","79,12,34,050.15","43,711"
07-Apr-14,180.6,181.5,176,183.5,177.2,177.65,178.07,207.9,100.15,"45,33,515","80,72,91,350.45","53,168"
09-Apr-14,179.95,182.95,176.5,177.65,182.3,181.6,179.6,207.9,100.15,"60,87,540","1,09,33,37,974.75","67,636"
10-Apr-14,181.7,187.9,181.7,181.6,185,186.55,186.05,207.9,100.15,"57,74,328","1,07,43,11,189.60","64,767"
11-Apr-14,184.9,187.2,182.65,186.55,184.4,185.45,185.22,207.9,100.15,"31,47,698","58,30,20,805.35","28,776"
15-Apr-14,185,185.75,179.9,185.45,180.25,182,182.98,207.9,100.15,"24,14,037","44,17,09,866.35","23,106"
16-Apr-14,180.4,183,175,182,175.45,175.55,178.35,207.9,100.15,"34,33,702","61,23,89,251.65","39,048"
17-Apr-14,175.5,181.9,172.7,175.55,180.9,181.25,177.07,207.9,100.15,"52,18,516","92,40,66,778.05","44,385"
21-Apr-14,182,189.5,182,181.25,186,186.35,186.4,207.9,100.15,"53,71,058","1,00,11,51,400.30","45,832"
22-Apr-14,186,189.4,184.55,186.35,186.8,186.8,187.2,207.9,100.15,"40,15,428","75,17,06,668.55","35,842"
23-Apr-14,187,191.5,187,186.8,189.45,189.6,190.02,207.9,100.15,"47,78,197","90,79,37,362.60","36,435"
25-Apr-14,189.5,195.25,189.3,189.6,191.45,191.2,192.74,207.9,100.15,"37,17,786","71,65,58,549.95","31,563"
28-Apr-14,191.2,191.95,185.55,191.2,186.5,186.2,187.47,207.9,100.15,"36,41,960","68,27,59,686.30","28,196"
29-Apr-14,187.3,188.8,184.55,186.2,186.5,186.55,186.59,207.9,100.15,"48,76,153","90,98,62,277.80","32,533"
30-Apr-14,187.4,189.4,178.45,186.55,181.05,180.45,185.23,207.9,100.15,"57,99,169","1,07,41,82,859.70","41,934"
02-May-14,181.9,184.3,177.45,180.45,180.35,180.35,181.09,207.9,100.15,"65,67,236","1,18,92,89,665.85","41,356"
05-May-14,180,183.5,176.65,180.35,177.3,177.95,179.54,207.9,100.15,"55,37,597","99,42,02,194.70","32,932"
06-May-14,178,181.7,178,177.95,178.55,178.95,180.1,207.9,100.15,"32,55,149","58,62,53,006.60","21,660"
07-May-14,179.4,181.35,178,178.95,178.1,178.4,179.81,207.9,100.15,"21,32,196","38,33,81,358.10","15,695"
08-May-14,179,185.6,179,178.4,185.1,184.25,181.68,207.9,100.15,"37,67,915","68,45,37,648.40","34,585"
09-May-14,186.4,195,184.7,184.25,194.1,194.05,189.72,207.9,100.15,"57,02,917","1,08,19,51,610.65","52,008"
12-May-14,195,201.8,194.5,194.05,198.3,198.65,198.98,207.9,100.15,"50,24,204","99,97,10,959.35","53,942"
13-May-14,199.9,229.8,199.75,198.65,219.25,218.95,219.53,229.8,100.15,"2,24,66,091","4,93,20,47,010.90","1,94,492"
14-May-14,221,221.55,211.5,218.95,216,216.4,215.32,229.8,100.15,"73,92,203","1,59,16,75,777.75","66,901"
15-May-14,217,224.8,214.25,216.4,217.7,218.1,218.85,229.8,100.15,"67,42,056","1,47,54,66,966.20","60,609"
16-May-14,226.3,235,222.35,218.1,230.5,231.6,229.65,235,100.15,"1,20,64,334","2,77,05,18,015.15","1,39,999"
19-May-14,231.1,273,231.05,231.6,265,266.55,255.05,273,100.15,"2,32,65,126","5,93,36,67,420.65","1,67,173"
20-May-14,268,287.8,258.95,266.55,276.25,277.8,274.45,287.8,100.15,"2,26,49,893","6,21,63,43,883.45","1,92,090"
21-May-14,277.8,280.75,266.4,277.8,269.3,271.05,272.62,287.8,100.15,"1,16,93,954","3,18,80,14,333.45","86,518"
22-May-14,273.4,274.8,261.25,271.05,265.35,263.4,266.96,287.8,100.15,"85,28,269","2,27,66,68,138.90","83,937"
23-May-14,265.5,279.55,265.35,263.4,272.15,272.15,272.39,287.8,100.15,"1,09,03,923","2,97,00,94,479.80","88,910"
26-May-14,275,291.5,251.15,272.15,256.25,259.15,275.26,291.5,100.15,"1,84,65,047","5,08,26,60,342.40","1,42,428"
27-May-14,259.15,259.7,240.5,259.15,245.5,245.65,247.36,291.5,100.15,"1,19,50,892","2,95,61,52,878.20","96,525"
28-May-14,247.35,256.85,245.25,245.65,249,248.85,251.72,291.5,100.15,"87,61,133","2,20,53,88,001.10","70,419"
29-May-14,248,251.65,241.05,248.85,244.5,243.3,245.55,291.5,100.15,"1,44,27,941","3,54,28,32,090.15","1,15,873"
30-May-14,243.3,252.5,241,243.3,241.35,242.2,245.56,291.5,100.15,"74,33,824","1,82,54,18,726.85","78,906"
02-Jun-14,244,251,242.6,242.2,248.5,248.6,247.88,291.5,100.15,"70,46,354","1,74,66,72,989.25","66,048"
