Date ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
01-Jan-14,484.35,491,480.35,488.35,482.1,483.15,486.63,629.9,415.1,"1,55,793","7,58,14,038.35","2,626"
02-Jan-14,483.05,488.75,459.1,483.15,463,462.75,469.47,629.9,415.1,"2,18,029","10,23,58,028.80","4,768"
03-Jan-14,465,475,463.1,462.75,473,471.35,469.08,629.9,415.1,"1,66,301","7,80,08,390.00","9,918"
06-Jan-14,471.95,484.9,466,471.35,482,476.45,474.23,629.9,415.1,"1,73,483","8,22,71,599.75","5,971"
07-Jan-14,477.95,478.7,462.4,476.45,464.4,464.8,468.82,629.9,415.1,"1,86,718","8,75,37,988.60","10,806"
08-Jan-14,468.4,469.45,462,464.8,463.5,464.05,466.28,629.9,415.1,"1,96,100","9,14,36,829.95","7,545"
09-Jan-14,465,470,461.1,464.05,466,466.45,465.74,629.9,415.1,"2,66,374","12,40,62,326.00","17,037"
10-Jan-14,465,469,462.5,466.45,465.8,465.25,465.63,629.9,415.1,"2,25,442","10,49,73,392.65","28,527"
13-Jan-14,469,483.75,469,465.25,483,482.25,480.32,629.9,415.1,"3,78,782","18,19,36,864.15","20,451"
14-Jan-14,480.8,487.8,474.4,482.25,482.1,483.1,480.65,629.9,415.1,"1,26,319","6,07,14,887.75","6,560"
15-Jan-14,486.8,486.8,475.35,483.1,478.8,479.95,480.04,629.9,415.1,"3,88,767","18,66,25,439.60","19,060"
16-Jan-14,479.95,481.6,474,479.95,475.9,476.05,479.5,629.9,415.1,"8,37,488","40,15,79,573.50","5,902"
17-Jan-14,473.05,477,465,476.05,473,472.75,474.17,629.9,415.1,"3,17,217","15,04,15,790.40","10,885"
20-Jan-14,466.25,480.4,466.25,472.75,474,474.8,478.22,629.9,415.1,"5,28,658","25,28,16,253.50","4,685"
21-Jan-14,476,483,475.25,474.8,477,477.55,478.48,629.9,415.1,"1,23,864","5,92,66,540.00","4,134"
22-Jan-14,477.55,483.8,477.55,477.55,480,479.15,480.06,629.9,415.1,"3,93,329","18,88,23,454.00","6,644"
23-Jan-14,479.65,484,476,479.15,480,480.9,480.9,629.9,415.1,"1,61,326","7,75,81,624.65","6,554"
24-Jan-14,482.5,482.5,470.05,480.9,470.05,471.15,475.13,629.9,415.1,"1,66,678","7,91,92,924.45","13,330"
27-Jan-14,470,471,451,471.15,454.9,456.6,460.2,629.9,415.1,"2,35,840","10,85,33,148.95","11,628"
28-Jan-14,455.5,464.4,450.05,456.6,453,451.75,458.38,629.9,415.1,"3,91,457","17,94,34,994.20","17,049"
29-Jan-14,456,467.45,453.1,451.75,464,465.4,459.01,629.9,415.1,"5,11,426","23,47,50,998.40","13,553"
30-Jan-14,461,463.65,455.4,465.4,460,460.9,459.17,629.9,415.1,"2,14,713","9,85,90,240.80","8,785"
31-Jan-14,461,477.8,461,460.9,474.05,474.2,472.15,629.9,415.1,"2,73,751","12,92,51,764.80","13,469"
03-Feb-14,463,464,455.25,474.2,458.05,459.9,459.81,629.9,415.1,"2,84,147","13,06,53,469.15","6,827"
04-Feb-14,455,458.9,445.15,459.9,445.75,447.75,450.22,629.9,415.1,"2,16,495","9,74,69,839.45","11,443"
05-Feb-14,446,453.5,439,447.75,440.3,440.3,444.29,629.9,415.1,"2,59,709","11,53,85,074.45","14,703"
06-Feb-14,438,449.4,438,440.3,449.1,445.8,443.53,629.9,415.1,"4,72,260","20,94,61,331.25","16,408"
07-Feb-14,445.8,452,444,445.8,448,449.7,448.44,629.9,415.1,"1,17,211","5,25,61,779.45","7,008"
10-Feb-14,448.7,454.3,446.3,449.7,452.6,452.4,452.55,629.9,415.1,"1,31,091","5,93,25,091.80","6,497"
11-Feb-14,449.15,458.6,449.15,452.4,456.5,456.4,452.83,629.9,415.1,"2,17,634","9,85,52,063.45","6,804"
12-Feb-14,458.95,462.9,452,456.4,461,460.25,460.03,629.9,415.1,"12,64,267","58,16,03,727.75","7,001"
13-Feb-14,462.85,463.85,449,460.25,452,456.2,458.35,629.9,415.1,"2,59,328","11,88,63,246.05","6,018"
14-Feb-14,462.5,463.2,454.35,456.2,455.6,457.05,458.24,629.9,415.1,"5,18,102","23,74,15,308.25","8,843"
17-Feb-14,459.45,459.9,446.15,457.05,448.7,448.1,450.95,629.9,415.1,"1,14,881","5,18,05,326.50","10,133"
18-Feb-14,448.05,454,445.1,448.1,449.4,447.25,449,629.9,415.1,"1,28,581","5,77,33,131.75","5,609"
19-Feb-14,450,457.7,448,447.25,457,455.4,453.25,629.9,415.1,"74,917","3,39,56,274.05","4,994"
20-Feb-14,454.95,454.95,441.1,455.4,442.4,443.85,445.91,629.9,415.1,"1,09,475","4,88,15,767.90","4,103"
21-Feb-14,447.9,448.65,442.95,443.85,445.5,446.8,446.1,629.9,415.1,"95,791","4,27,32,328.55","6,389"
24-Feb-14,443,449.5,443,446.8,446.5,446.3,446.23,629.9,415.1,"81,197","3,62,32,743.35","5,825"
25-Feb-14,445.1,451.75,445.1,446.3,446.6,447.2,448.29,629.9,415.1,"86,858","3,89,37,848.85","3,006"
26-Feb-14,446.2,450.95,440,447.2,440.65,440.6,443.57,629.9,415.1,"1,79,055","7,94,23,960.75","6,039"
28-Feb-14,440,460,440,440.6,457.6,455.55,450.32,629.9,415.1,"5,65,074","25,44,66,122.60","16,768"
03-Mar-14,453.5,460.05,450.1,455.55,450.3,451.3,453.89,629.9,415.1,"90,347","4,10,07,834.55","4,018"
04-Mar-14,453,459,445,451.3,455.9,456.15,455.69,629.9,415.1,"1,27,667","5,81,77,070.05","4,266"
05-Mar-14,457,473.5,456.2,456.15,470.5,472,465.25,629.9,415.1,"4,60,003","21,40,16,768.85","10,905"
06-Mar-14,468.2,481,464.75,472,475,476.4,476.33,629.9,415.1,"2,35,632","11,22,38,271.90","9,680"
07-Mar-14,474.05,492,474.05,476.4,488.5,486.75,483.36,629.9,415.1,"4,24,570","20,52,20,463.00","11,694"
10-Mar-14,486.5,493.8,476.4,486.75,487,489.45,486.86,629.9,415.1,"4,36,480","21,25,05,129.45","13,778"
11-Mar-14,482.25,491,472.05,489.45,473.4,475.45,481.5,629.9,415.1,"3,11,447","14,99,60,600.45","18,040"
12-Mar-14,473.1,474.95,465.6,475.45,468.95,467.75,469.58,629.9,415.1,"1,98,938","9,34,16,620.10","11,447"
13-Mar-14,469.8,488,469.8,467.75,483,480.2,481.46,629.9,415.1,"6,63,339","31,93,71,285.30","28,344"
14-Mar-14,480.05,484.8,472.6,480.2,476.7,480.15,479.39,629.9,415.1,"2,13,977","10,25,78,756.00","14,287"
18-Mar-14,480.1,494,474.75,480.15,491.45,488.3,488.37,629.9,415.1,"3,31,269","16,17,81,390.50","10,896"
19-Mar-14,490.5,495,485,488.3,486.5,487,489.63,629.9,415.1,"2,83,256","13,86,89,364.30","8,368"
20-Mar-14,481.55,489.8,476.2,487,477.65,480.3,482.45,629.9,415.1,"1,96,668","9,48,83,304.15","15,083"
21-Mar-14,480,484.5,475,480.3,478.7,477.7,477.8,629.9,415.1,"4,97,708","23,78,04,939.65","6,585"
22-Mar-14,482.6,485.95,479.1,477.7,480.5,480.55,481.06,629.9,415.1,"27,352","1,31,57,882.70",867
24-Mar-14,485.95,485.95,479.05,480.55,482.5,482.2,480.82,629.9,415.1,"3,52,275","16,93,81,231.05","6,067"
25-Mar-14,476,479,468.35,482.2,472.5,471.6,470.81,629.9,415.1,"5,04,616","23,75,78,878.75","9,032"
26-Mar-14,463.25,483,463.25,471.6,480,482.25,474.32,629.9,415.1,"3,48,189","16,51,52,019.20","11,255"
27-Mar-14,483,484.9,466.35,482.25,477,476.85,477.27,629.9,415.1,"3,40,542","16,25,29,709.25","16,629"
28-Mar-14,476.3,485.5,476.3,476.85,479,479.55,481.17,629.9,415.1,"2,15,477","10,36,81,197.15","9,485"
31-Mar-14,479.95,488.5,479.5,479.55,481,484.05,485.02,629.9,415.1,"3,11,373","15,10,20,594.05","9,122"
01-Apr-14,484.4,495,476,484.05,493,492.2,487.35,629.9,415.1,"3,46,922","16,90,71,127.60","9,082"
02-Apr-14,494.75,500,489.8,492.2,492,491,492.84,629.9,415.1,"2,44,759","12,06,26,037.55","7,316"
03-Apr-14,492,494.7,484.15,491,490,490.45,490.77,629.9,415.1,"3,37,217","16,54,97,614.50","11,880"
04-Apr-14,490,490.55,471,490.45,488,483.15,477.49,629.9,415.1,"21,21,130","1,01,28,12,646.10","18,598"
07-Apr-14,483.15,489.9,476,483.15,483.25,483.65,481.05,629.9,415.1,"2,98,273","14,34,84,961.75","9,397"
09-Apr-14,485.05,494,483.15,483.65,488,489.4,487.65,629.9,415.1,"4,40,116","21,46,23,585.05","12,819"
10-Apr-14,485.35,494.35,479,489.4,484,484.15,483.19,629.9,415.1,"7,85,855","37,97,20,723.15","13,104"
11-Apr-14,481.25,488.4,480.1,484.15,483,483.55,483.82,629.9,415.1,"5,58,524","27,02,27,819.35","6,393"
15-Apr-14,482.3,485,477.5,483.55,482,481.85,479.62,629.9,415.1,"5,04,214","24,18,29,254.40","16,859"
16-Apr-14,479.1,482.8,474,481.85,475,475.05,476.91,629.9,415.1,"2,62,592","12,52,33,705.05","6,407"
17-Apr-14,477,480,472,475.05,476.15,477.7,475.62,629.9,415.1,"4,37,373","20,80,23,919.35","6,103"
21-Apr-14,481.9,485.45,479.1,477.7,484,481.95,481.11,629.9,415.1,"5,08,322","24,45,60,288.75","3,759"
22-Apr-14,484,497.95,480.5,481.95,494.4,493.45,492.37,629.9,415.1,"6,33,058","31,17,01,754.80","20,806"
23-Apr-14,496.9,503.65,490.6,493.45,495,493.45,497.73,629.9,415.1,"7,40,598","36,86,17,513.70","18,848"
25-Apr-14,492,504,491.15,493.45,495.9,494.75,495.69,629.9,415.1,"2,98,260","14,78,45,501.35","8,985"
28-Apr-14,494.75,501.2,491.15,494.75,493,493.1,495.25,629.9,415.1,"3,11,503","15,42,71,794.60","13,031"
29-Apr-14,495,498.65,485,493.1,486,487.5,490.7,629.9,415.1,"1,13,558","5,57,22,395.35","3,511"
30-Apr-14,485.5,491.35,471,487.5,480.7,477.25,480.23,629.9,415.1,"5,43,226","26,08,76,011.15","15,439"
02-May-14,475.15,485.4,475.15,477.25,482.5,482.5,482.89,629.9,415.1,"2,69,769","13,02,69,420.10","4,010"
