Date ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
01-Jan-14,377.55,378.8,374.05,376.4,374.5,374.95,376.95,405.05,251.8,"13,50,265","50,89,87,388.15","14,909"
02-Jan-14,374.95,376.2,369.2,374.95,372,372.35,372.98,405.05,251.8,"29,83,093","1,11,26,37,239.40","39,644"
03-Jan-14,368,368,360,372.35,363,362.7,362.87,405.05,251.8,"49,50,946","1,79,65,37,048.95","84,245"
06-Jan-14,367.5,370.5,364.2,362.7,367.25,366.95,367.93,405.05,251.8,"54,31,816","1,99,85,37,588.70","67,547"
07-Jan-14,367,370,363.75,366.95,363.9,365.1,367.15,405.05,251.8,"39,78,229","1,46,06,09,147.00","50,120"
08-Jan-14,365.1,371.6,364.55,365.1,370.5,370.25,368.61,405.05,251.8,"53,97,831","1,98,96,81,490.95","90,284"
09-Jan-14,372.2,372.4,365,370.25,369,367.95,367.9,405.05,251.8,"35,65,546","1,31,17,46,794.50","85,784"
10-Jan-14,370,370.6,365.5,367.95,367,367,367.91,405.05,251.8,"30,67,850","1,12,86,91,158.20","50,598"
13-Jan-14,372.65,379.45,371.75,367,375.5,376.15,375.76,405.05,251.8,"66,35,467","2,49,33,70,738.35","1,09,578"
14-Jan-14,375.1,375.5,368.1,376.15,371.8,371.8,371.37,405.05,251.8,"32,37,644","1,20,23,75,693.25","45,274"
15-Jan-14,374,378.15,372.7,371.8,377.7,377.3,375.87,405.05,251.8,"47,95,274","1,80,24,11,117.10","66,421"
16-Jan-14,379,379,366.8,377.3,369.55,369.75,370.21,405.05,251.8,"77,05,700","2,85,27,30,043.65","76,889"
17-Jan-14,367.5,373.9,367.05,369.75,368.55,369.7,370.25,405.05,251.8,"49,47,903","1,83,19,81,936.70","38,733"
20-Jan-14,371.05,376.75,370.5,369.7,374.4,374.9,373.66,405.05,251.8,"32,12,466","1,20,03,68,514.30","29,444"
21-Jan-14,375,387.8,372.2,374.9,384.25,384.8,383.78,405.05,251.8,"57,20,137","2,19,52,56,008.90","65,229"
22-Jan-14,381.45,387.5,380.05,384.8,385.5,386.1,385.48,405.05,251.8,"55,94,747","2,15,66,88,148.40","66,842"
23-Jan-14,385.25,389,380.7,386.1,384,383.6,385.12,405.05,251.8,"37,50,003","1,44,41,92,623.80","61,823"
24-Jan-14,379,382.05,368.8,383.6,371.1,370.4,372.59,405.05,251.8,"35,81,923","1,33,45,81,339.20","45,491"
27-Jan-14,363,363,345.55,370.4,348.35,348.25,353.05,405.05,251.8,"91,40,386","3,22,69,88,633.90","1,47,140"
28-Jan-14,345.5,359.4,345.5,348.25,355,356.25,353.38,405.05,251.8,"65,42,003","2,31,18,20,695.30","71,309"
29-Jan-14,360.1,362.55,350.55,356.25,352.35,351.75,357.09,405.05,251.8,"32,52,615","1,16,14,66,070.85","38,172"
30-Jan-14,349.3,367.5,349,351.75,363.2,361.75,357.03,405.05,251.8,"90,19,795","3,22,03,81,392.75","75,744"
31-Jan-14,358.4,358.4,347,361.75,349.95,349.55,350.46,405.05,251.8,"68,59,611","2,40,40,53,200.60","85,638"
03-Feb-14,347,349.75,335.6,349.55,337,336.4,339.82,405.05,251.8,"55,77,370","1,89,53,12,277.35","76,144"
04-Feb-14,332.1,346.7,332.1,336.4,346.1,345.85,341.59,405.05,251.8,"1,13,39,969","3,87,36,64,707.00","1,26,492"
05-Feb-14,343,358.5,339.55,345.85,355,355.1,349.82,405.05,251.8,"93,37,843","3,26,65,44,385.10","1,34,320"
06-Feb-14,353.05,360.25,349,355.1,357.45,357.65,355.79,405.05,251.8,"79,99,919","2,84,63,21,706.75","64,905"
07-Feb-14,360,363,356.1,357.65,360.25,360.2,359.61,405.05,251.8,"54,32,815","1,95,36,87,120.40","55,493"
10-Feb-14,365,367.4,358,360.2,363.8,364.05,364.56,405.05,251.8,"65,09,957","2,37,32,37,886.45","77,180"
11-Feb-14,381.05,382.7,370.65,364.05,374.1,374.5,375.79,405.05,251.8,"1,56,61,815","5,88,55,54,870.95","1,68,062"
12-Feb-14,376,383,375.15,374.5,376.8,376.65,378.23,405.05,251.8,"77,20,562","2,92,01,36,419.85","85,385"
13-Feb-14,380,383.45,374.7,376.65,375,375.95,379.35,405.05,251.8,"67,53,321","2,56,18,98,404.65","94,374"
