Date ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
23-Jul-21,116,138.9,115,76,125.3,126,124.12,138.9,115,"69,48,95,290","86,25,27,47,421.30","24,28,917"
26-Jul-21,126.35,143.75,125.3,126,138.05,140.65,134.63,143.75,115,"24,97,23,854","33,62,03,24,359.75","10,34,160"
27-Jul-21,141.7,147.8,127.75,140.65,130.65,132.9,141.09,147.8,115,"24,03,41,900","33,90,96,84,267.35","10,75,475"
28-Jul-21,131,135,123.55,132.9,133,131.2,127.9,147.8,115,"15,97,93,731","20,43,70,12,592.05","6,27,048"
29-Jul-21,134.95,144,132.2,131.2,142.25,141.55,137.73,147.8,115,"11,79,73,089","16,24,87,96,568.35","4,89,222"
30-Jul-21,142.6,142.7,131,141.55,134.45,133.5,136.46,147.8,115,"8,83,12,522","12,05,14,93,787.80","3,48,520"
02-Aug-21,135.75,140.75,135.15,133.5,138.45,139.7,138.14,147.8,115,"6,69,09,732","9,24,26,37,574.35","2,95,910"
03-Aug-21,137,140.8,137,139.7,138.5,139.4,139.04,147.8,115,"4,66,10,001","6,48,05,74,826.25","1,89,764"
04-Aug-21,139.8,141,135.25,139.4,137.1,138.4,138.08,147.8,115,"4,11,34,419","5,68,00,17,058.80","1,75,364"
05-Aug-21,138.75,138.9,132,138.4,135.3,134.95,134.49,147.8,115,"3,84,37,134","5,16,95,56,725.35","1,78,897"
06-Aug-21,135.5,136.2,130.1,134.95,131.75,131.35,132.41,147.8,115,"3,19,75,356","4,23,37,43,397.95","1,46,049"
09-Aug-21,132.4,133.55,127.25,131.35,130.7,130.6,130.01,147.8,115,"4,13,58,299","5,37,68,08,522.40","2,02,310"
10-Aug-21,131,131.45,122.1,130.6,125,125.2,126.82,147.8,115,"4,31,64,004","5,47,39,95,627.60","2,23,169"
11-Aug-21,123,138.75,123,125.2,136.9,135.65,131.58,147.8,115,"11,17,02,781","14,69,77,64,219.90","3,87,786"
12-Aug-21,135.65,137.4,132.05,135.65,134.25,135.45,134.71,147.8,115,"5,12,56,670","6,90,49,60,638.95","1,77,700"
13-Aug-21,133.85,139.75,132.1,135.45,138.25,137.35,135.44,147.8,115,"3,36,74,300","4,56,09,27,903.50","1,33,386"
16-Aug-21,136.4,136.9,132.25,137.35,132.8,134.95,135.26,147.8,115,"2,03,05,361","2,74,64,21,817.30","1,15,022"
17-Aug-21,132.8,134.35,130.6,134.95,132.3,132.5,133.16,147.8,115,"1,58,15,187","2,10,59,23,272.00","68,974"
18-Aug-21,134.5,136.8,133.3,132.5,134.5,134.95,135.32,147.8,115,"2,25,66,920","3,05,36,69,303.25","1,06,963"
20-Aug-21,134.95,141.45,133,134.95,137.45,139.3,138.54,147.8,115,"5,37,89,580","7,45,18,23,346.85","2,30,402"
23-Aug-21,137.8,137.8,124.75,139.3,128.15,127.25,129.97,147.8,115,"6,84,70,861","8,89,92,91,551.25","3,20,725"
24-Aug-21,127.25,127.95,120.5,127.25,124.65,125,123.88,147.8,115,"5,67,13,556","7,02,56,17,193.90","2,75,805"
25-Aug-21,126,128.5,123.1,125,123.5,124.25,126.29,147.8,115,"5,10,78,811","6,45,07,41,288.80","2,05,459"
26-Aug-21,125.25,127.15,124.35,124.25,125.4,125.85,126,147.8,115,"2,06,45,403","2,60,12,97,546.65","1,04,822"
27-Aug-21,126.6,129.5,124.1,125.85,124.95,124.7,126.49,147.8,115,"2,22,27,595","2,81,15,59,981.10","95,008"
30-Aug-21,127.85,135.45,127.55,124.7,133,133.55,131.26,147.8,115,"4,52,39,080","5,93,80,07,438.30","1,77,439"
31-Aug-21,134,135.2,131.35,133.55,134,134.55,133.99,147.8,115,"2,46,40,924","3,30,16,26,664.75","1,19,630"
01-Sep-21,134.55,135.1,130.7,134.55,132.25,132.6,132.83,147.8,115,"1,61,62,269","2,14,68,23,422.95","86,621"
